Country,Type,Year,AQI
"Klodzko, Poland",City,2018,20.4
"Bielsko-Biala, Poland",City,2018,26.03333333333333
"Nong Bua Lamphu, Thailand",City,2018,23.95
"Thanyaburi, Thailand",City,2018,24.23333333333333
"French Gulch, USA",City,2018,26.4
"Jixi, China",City,2018,29.2
"Chetput, India",City,2018,26.3
"Temirtau, Kazakhstan",City,2018,26.3
"Mae Mo, Thailand",City,2018,27.366666666666664
"Mejdan - Obilicevo, Bosnia Herzegovina",City,2018,26.2
"Nacimiento, Chile",City,2018,26.75
"Taicang, China",City,2018,36.9
"Haimen, China",City,2018,32.7
"Songjiang, China",City,2018,26.1
"Chikkaballapur, India",City,2018,28.166666666666668
"Mobarakeh, Iran",City,2018,24.1
"Saraburi, Thailand",City,2018,25.399999999999995
"Palembang, Indonesia",City,2018,24.7
"Banting, Malaysia",City,2018,21.766666666666666
"Phutthamonthon, Thailand",City,2018,28.400000000000002
"Phu Phiang, Thailand",City,2018,24.3
"Mae Sot, Thailand",City,2018,32.2
"Bursa, Turkey",City,2018,28.4
"Pollock Pines, USA",City,2018,16.166666666666668
"Long Xuyen, Vietnam",City,2018,26.0
"Lumby, Canada",City,2018,25.9
"Dongsheng, China",City,2018,25.9
"Yiwu, China",City,2018,33.7
"Accra, Ghana",City,2018,27.7
"Gliwice, Poland",City,2018,24.0
"Santiago, Chile",City,2018,29.4
"Dingxi, China",City,2018,40.3
"Enshi, China",City,2018,36.1
"Baishan, China",City,2018,31.5
"Kuala Langat, Malaysia",City,2018,24.25
"Otopeni, Romania",City,2018,25.8
"Dehong, China",City,2018,33.7
"Sajoszentpeter, Hungary",City,2018,23.7
"Gossolengo, Italy",City,2018,25.7
"Beirut, Lebanon",City,2018,25.7
"Jinsha, China",City,2018,25.6
"Jinhua, China",City,2018,33.3
"Zagreb, Croatia",City,2018,25.6
"Pekan, Malaysia",City,2018,18.8
"Domaszowice, Poland",City,2018,22.600000000000005
"Si Samrong, Thailand",City,2018,31.76666666666667
"Tahoe Vista, USA",City,2018,25.6
"Quilicura, Chile",City,2018,24.366666666666664
"Wuzhou, China",City,2018,34.5
"Jian, China",City,2018,39.1
"Linping, China",City,2018,25.5
"Meybod, Iran",City,2018,21.1
"Rustenburg, South Africa",City,2018,25.5
"Çatalağzı, Turkey",City,2018,26.866666666666664
"Minden, USA",City,2018,14.5
"Rancagua, Chile",City,2018,22.9
"La Pintana, Chile",City,2018,25.4
"Jinchang, China",City,2018,36.5
"Nujiang, China",City,2018,24.4
"Guadalajara, Mexico",City,2018,22.933333333333334
"Seosan, South Korea",City,2018,18.7
"Shuangyashan, China",City,2018,26.6
"Weihai, China",City,2018,26.6
"Huzhou, China",City,2018,35.1
"Suphan Buri, Thailand",City,2018,24.55
"Guyuan, China",City,2018,33.4
"Chennai, India",City,2018,43.2
"Shahin Shahr, Iran",City,2018,26.099999999999998
"Antakya, Turkey",City,2018,25.2
"Deqing, China",City,2018,25.1
"Dodowa, Ghana",City,2018,25.1
